minmod_id,CommodityinMRDS,Aliases,CommodityinGeoKb,IDinGeoKB
Q578,Nickel,Ni,nickel,Q354
Q579,Niobium,Nb,niobium,Q355
Q580,Nitrogen-Nitrates,,nitrogen-nitrates,Q479
Q581,Nonmetal,,nonmetal,Q480
Q582,platinum-group elements,,platinum-group elements,Q291
Q583,Potassium,K,potassium,Q365
Q584,"Potassium, Alum",,alum potassium,Q466
Q585,Silver,Ag,silver,Q381
Q586,"Silver, Refinery",,refinery silver,Q411
Q587,Tin,Sn,tin,Q392
Q588,Uranium,U,uranium,Q398
Q589,Zinc,Zn,zinc,Q403
Q590,Beryllium,Be,beryllium,Q301
Q591,Cesium,Cs,cesium,Q311
Q592,"Clay, Bentonite",,bentonite clay,Q425
Q593,Diatomite,,diatomite,Q443
Q594,Gallium,Ga,gallium,Q327
Q595,Germanium,Ge,germanium,Q328
Q596,Iridium,Ir,iridium,Q338
Q597,Limestone,,limestone,Q468
Q598,Marble,,marble,Q474
Q599,Osmium,Os,osmium,Q358
Q600,Palladium,Pd,palladium,Q360
Q601,Platinum,Pt,platinum,Q362
Q602,Pumice,,pumice,Q41360
Q603,Rhenium,Re,rhenium,Q371
Q604,Rhodium,Rh,rhodium,Q372
Q605,Rubidium,Rb,rubidium,Q373
Q606,Ruthenium,Ru,ruthenium,Q374
Q607,Scandium,Sc,scandium,Q377
Q608,Selenium,Se,selenium,Q379
Q609,Strontium,Sr,strontium,Q383
Q610,Tantalum,Ta,tantalum,Q385
Q611,Tellurium,Te,tellurium,Q387
Q612,Thallium,Tl,thallium,Q389
Q613,Thorium,Th,thorium,Q390
Q614,Titanium,Ti,titanium,Q393
Q615,Tungsten,W,tungsten,Q394
Q616,Vanadium,V,vanadium,Q399
Q617,Zirconium,Zr,zirconium,Q404
Q618,rare earth elements,,rare earth elements,Q290
Q619,Ash,,ash,Q41910
Q620,Bromine,Br,bromine,Q305
Q621,Calcium,Ca,calcium,Q307
Q622,Chlorine,Cl,chlorine,Q312
Q623,Flint,,flint,Q450
Q624,Granite,,granite,Q462
Q625,Hydrogen,H,hydrogen,Q334
Q626,"Gemstone, Jade",,jade,Q455
Q628,Metal,,metal,Q473
Q629,Pyrophyllite,,pyrophyllite,Q162625
Q630,Quartz,,quartz,Q162627
Q631,Radium,Ra,radium,Q369
Q632,Staurolite,,staurolite,Q162679
Q633,Sulfur,S,sulfur,Q384
Q634,Travertine,,travertine,Q41438
Q635,Vermiculite,,vermiculite,Q162738
Q636,Wollastonite,,wollastonite,Q162757
Q637,Coal,,,
Q638,Energy,,,
Q639,Flagstone,,,
Q640,"Lead, Refiner",,,
Q641,"Lead, Smelter",,,
Q642,"Nickel, Laterite",,,
Q643,"Nickel, Refiner",,,
Q644,"Nickel, Smelter",,,
Q645,Olivine,,,
Q646,Peat,,,
Q647,Perlite,,,
Q648,Petroleum (Oil),,,
Q649,"Petroleum (Oil), Gilsonite",,,
Q650,"Petroleum (Oil), Oil Sands",,,
Q651,"Petroleum (Oil), Oil Shale",,,
Q652,"Petroleum (Oil), Rock Asphalt",,,
Q653,Phosphorus-Phosphates,,,
Q654,Pyrite,,,
Q655,Sand,,,
Q656,Sand and Gravel,,,
Q657,Silica,,,
Q658,"Silica, Ferrosilicon",,,
Q659,Slate,,,
Q660,Sodium,,,
Q661,"Sodium, Halite",,,
Q662,"Sodium, Salt",,,
Q663,Stone,,,
Q664,"Stone, Crushed/Broken",,,
Q665,"Stone, Dimension",,,
Q666,Sulfides,,,
Q667,"Sulfur, Iron Pyrite",,,
Q668,"Sulfur, Sulfuric Acid",,,
Q669,Talc-Soapstone,,,
Q670,"Tantalum, Tin Slag",,,
Q671,"Tin, Tailings",,,
Q672,"Titanium, Heavy Minerals",,,
Q673,"Titanium, Ilmenite",,,
Q674,"Titanium, Metal",,,
Q675,"Titanium, Pigment",,,
Q676,"Titanium, Rutile",,,
Q677,"Tungsten, Mill Concentrate",,,
Q678,"Tungsten, Refinery",,,
Q679,Volcanic Materials,,,
Q680,Water,,,
Q681,Zeolites,,,
Q682,"Zinc, Refiner",,,
Q683,"Zinc, Smelter",,,
Q684,Barium,Ba,barium,Q299
Q685,Silicon,Si,silicon,Q380
Q686,Lanthanum,La,lanthanum,Q340
Q687,Cerium,Ce,cerium,Q310
Q689,Yttrium,Y,yttrium,Q402
Q688,Praseodymium,Pr,praseodymium,Q366
Q690,Neoymium,Nd,neodymium,Q351
Q691,Samarium,Sm,samarium,Q376
Q692,Europium,Eu,europium,Q322
Q694,Terbium,Tb,terbium,Q388
Q693,Gadolinium,Gd,gadolinium,Q326
Q699,Ytterbium,Yb,ytterbium,Q401
Q695,Dysprosium,Dy,dysprosium,Q319
Q698,Thulium,Tm,thulium,Q391
Q700,Lutetium,Lu,lutetium,Q344
Q696,Holmium,Ho,holmium,Q333
Q697,Erbium,Er,erbium,Q321
Q10000,Promethium,Pm,promethium,Q367
